"Date","TB_polarity","gme_close","nyse_close","fitted","subjectivity"
2020-12-23,-0.1,20.57,14398.620117,20.5494461812037,0.5
2020-12-31,-0.246642485119048,18.84,14524.799805,20.4325465304035,0.542336309523809
2021-01-01,0.669285521249904,NA,NA,NA,55.8656046912417
2021-01-02,-1.17226822851747,NA,NA,NA,18.1444616086739
2021-01-03,0.752666746219938,NA,NA,NA,11.8715681433235
2021-01-04,-23.9751822145578,17.25,14376.700195,21.0951296444996,361.559087674278
2021-01-05,-17.5774846493413,17.370001,14536.530273,17.1327777385,220.163069681408
2021-01-06,-17.443454201099,18.360001,14788.839844,16.8649257714268,229.245182721635
2021-01-07,-26.4529148124628,18.08,14928.75,19.3930912163522,192.130017742236
2021-01-08,-14.5357461315236,17.690001,14966.830078,16.8803752250233,195.563993379974
2021-01-09,-1.71805484443356,NA,NA,NA,12.5908871624407
2021-01-10,0.151745709208824,NA,NA,NA,14.1989413901217
2021-01-11,-57.9315737842473,19.940001,14937.959961,23.0363957081517,643.654678307499
2021-01-12,-6.75721540877401,19.950001,15010.290039,13.0132939501437,182.496183520283
2021-01-13,-359.54785145044,31.4,14983.610352,73.5228683949924,3703.29801817357
2021-01-14,-364.408872154361,39.91,15044.379883,51.277037134721,3920.18912184936
2021-01-15,-353.78973902672,35.5,14894.169922,34.9586649030073,3778.06463550884
2021-01-16,-8.1929845746497,NA,NA,NA,103.014682496462
2021-01-17,-6.07548611650842,NA,NA,NA,67.9251620191055
2021-01-18,-42.2118777764147,NA,NA,NA,619.649639619426
2021-01-19,-25.3431650576499,39.360001,14987.339844,2.91140814225763,481.288643408543
2021-01-20,-19.7683355329508,39.119999,15097.280273,30.8273800221137,444.973164619166
2021-01-21,-17.7063361128407,43.029999,15019.049805,38.5096549205758,341.529439356846
2021-01-22,-135.478305852285,65.010002,14951.839844,60.2953673966083,1528.06488985162
2021-01-23,-9.1435104827705,NA,NA,NA,255.432274150531
2021-01-24,-6.51252503158393,NA,NA,NA,212.412204443291
2021-01-25,-44.0386653564274,76.790001,14935.290039,56.8966739135272,843.901595495045
2021-01-26,-35.4671795320712,147.979996,14867.370117,75.0359005154761,494.804575787689
2021-01-27,-362.232064469869,347.51001,14487.730469,170.423402361652,5172.06324589227
2021-01-28,-223.437362559302,193.600006,14669.519531,263.641203846606,9300.32317426934
2021-01-29,14.0587779632615,325,14397.200195,210.250928251808,6277.26596846604
2021-01-30,101.560761734067,NA,NA,NA,2204.99523802885
2021-01-31,34.1632608248815,NA,NA,NA,859.004891308729
2021-02-01,9.3541705577141,225,14596.179688,258.97968364278,225.495288793347
2021-02-02,-8.91314613328021,90,14768.580078,232.738282118021,1199.95856162337
2021-02-03,13.1436354308351,92.410004,14839.05957,144.200256724843,685.394705224133
2021-02-04,64.2941350554575,53.5,14975.429688,81.6370981765833,1110.3169388678
2021-02-05,31.9045622580386,63.77,15069.599609,71.5669890511383,1243.63244029707
2021-02-06,25.0946121092265,NA,NA,NA,624.532738265662
2021-02-07,2.46783509730826,NA,NA,NA,176.712490724042
2021-02-08,-4.26908959285384,60,15226.610352,65.8056810869875,253.650643508544
2021-02-09,-16.8105920618409,50.310001,15244.400391,62.9007255281889,300.911950572429
2021-02-10,0.824179949990475,51.200001,15273.900391,52.3653818903354,70.8198857101094
2021-02-11,6.51726035714032,51.099998,15297.089844,48.7128643604062,172.892782770378
2021-02-12,10.0705775211297,52.400002,15369.599609,50.1818973988741,172.719232740941
2021-02-13,-3.57544258194332,NA,NA,NA,118.756896921104
2021-02-14,2.16303158306859,NA,NA,NA,74.3354636026554
2021-02-15,-4.12842173665344,NA,NA,NA,61.1102794221591
2021-02-16,2.76183939492832,49.509998,15423.019531,51.8031313773014,37.0939601362662
2021-02-17,0.719059692058215,45.939999,15402.589844,50.023290258777,42.2612334199849
2021-02-18,4.7569699290557,40.689999,15290.639648,46.9203238730911,164.079894283251
2021-02-19,0.943604368312955,40.59,15362.69043,43.2315663021223,153.367960015878
2021-02-20,2.68215934981318,NA,NA,NA,105.105867607524
2021-02-21,0.925852034805686,NA,NA,NA,83.6870059248463
2021-02-22,-10.1609949354358,46,15340.469727,43.5490902670218,115.074250555629
2021-02-23,-0.121101162258,44.970001,15359.129883,43.774644669817,73.5698654369774
2021-02-24,-1.36061926964324,91.709999,15539.419922,44.921966915939,48.9530367662231
2021-02-25,-6.45164893215159,108.730003,15206.669922,73.045212317471,200.838017290075
2021-02-26,-3.08158418153081,101.739998,15010.469727,101.402852563751,204.485543441323
2021-02-27,5.08279846345979,NA,NA,NA,85.9454292268799
2021-02-28,2.9093448923942,NA,NA,NA,58.5771661915194
2021-03-01,4.95967169580335,120.400002,15327.769531,107.435881224152,119.926624605884
2021-03-02,4.07353866281516,118.18,15277.019531,116.935964226328,174.697729167914
2021-03-03,4.23784925328162,124.18,15199.19043,119.143030121677,197.686986011941
2021-03-04,1.84141047418699,132.350006,14959.410156,122.043914927679,135.725793697507
2021-03-05,-0.0562793055923047,137.740005,15251.830078,129.397988311078,123.443845857917
2021-03-06,2.17137980781711,NA,NA,NA,93.8343630753519
2021-03-07,4.78394887843597,NA,NA,NA,49.0908755998552
2021-03-08,-9.26946381985816,194.5,15288.379883,153.345879269238,197.344697175936
2021-03-09,-9.68713380524673,246.899994,15375.629883,187.61925645875,401.070630018869
2021-03-10,-18.2825261494409,265,15521.839844,226.376114085992,908.777866756904
2021-03-11,-17.4656752170279,260,15648,257.870695383415,490.389134274106
2021-03-12,-2.48827708872463,264.5,15715.209961,259.616733801703,82.8407100605622
